,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings,target
0,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,8.0,2
1,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2.0,2
2,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,8.0,2
3,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,9.0,2
4,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12.0,2
5,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23,6.0,2
6,0.475,0.37,0.125,0.649,0.34700000000000003,0.136,0.142,8.0,0
7,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,8.0,0
8,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,8.0,2
9,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035,6.0,2
10,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16.0,1
11,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,15.0,0
12,0.35,0.26,0.09,0.198,0.0725,0.055999999999999994,0.06,10.0,0
13,0.655,0.515,0.2,1.494,0.7255,0.309,0.405,12.0,1
14,0.45,0.36,0.11,0.447,0.203,0.08199999999999999,0.13,12.0,1
15,0.53,0.415,0.13,0.6940000000000001,0.3905,0.111,0.16699999999999998,9.0,2
16,0.625,0.5,0.16,1.217,0.5725,0.207,0.355,11.0,1
17,0.66,0.535,0.2,1.791,0.733,0.318,0.54,15.0,0
18,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,7.0,0
19,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23.0,1
20,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,6.0,2
21,0.63,0.49,0.165,1.2005,0.575,0.273,0.294,10.0,0
22,0.53,0.4,0.125,0.7575,0.39799999999999996,0.151,0.175,8.0,0
23,0.525,0.4,0.14,0.6955,0.2405,0.16,0.253,10.0,2
24,0.34,0.25,0.07,0.2225,0.10400000000000001,0.0425,0.055,7.0,2
25,0.595,0.455,0.15,0.8859999999999999,0.4315,0.201,0.223,10.0,0
26,0.56,0.45,0.14,0.9,0.47200000000000003,0.182,0.218,7.0,0
27,0.515,0.405,0.12,0.6459999999999999,0.2895,0.1405,0.177,10.0,1
28,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,13.0,0
29,0.405,0.31,0.09,0.312,0.138,0.06,0.087,8.0,2
30,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,11.0,1
31,0.48,0.335,0.125,0.524,0.24600000000000002,0.1095,0.145,7.0,2
32,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12.0,0
33,0.605,0.45,0.165,1.2225,0.35700000000000004,0.20199999999999999,0.385,13.0,1
34,0.61,0.46,0.155,0.9570000000000001,0.4255,0.1975,0.265,8.0,1
35,0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,7.0,2
36,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,6.0,2
37,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,12.0,1
38,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6.0,2
39,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8.0,0
40,0.4,0.31,0.1,0.306,0.13,0.06,0.094,6.0,2
41,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8.0,0
42,0.585,0.465,0.165,0.885,0.4025,0.1625,0.27399999999999997,10.0,0
43,0.62,0.5,0.15,1.2930000000000001,0.596,0.3135,0.354,10.0,1
44,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,10.0,2
45,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21.0,1
46,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8.0,0
47,0.465,0.34,0.11,0.34600000000000003,0.1425,0.073,0.113,11.0,2
48,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,11.0,1
49,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7.0,2
50,0.68,0.52,0.195,1.4535,0.5920000000000001,0.391,0.4125,10.0,0
51,0.64,0.525,0.215,1.7790000000000001,0.4535,0.2855,0.55,22.0,1
52,0.44,0.31,0.115,0.3625,0.134,0.08199999999999999,0.12,11.0,2
53,0.585,0.46,0.165,1.058,0.486,0.25,0.294,9.0,1
54,0.55,0.425,0.15,0.639,0.26899999999999996,0.1345,0.217,9.0,2
55,0.505,0.385,0.115,0.4825,0.21,0.1035,0.1535,10.0,0
56,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,9.0,1
57,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9.0,0
58,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4.0,0
59,0.41,0.325,0.11,0.326,0.1325,0.075,0.10099999999999999,8.0,2
60,0.69,0.58,0.195,1.6580000000000001,0.708,0.3615,0.4715,10.0,1
61,0.495,0.375,0.12,0.614,0.2855,0.1365,0.161,8.0,2
62,0.375,0.285,0.09,0.237,0.106,0.0395,0.08,8.0,2
63,0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,8.0,2
64,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6.0,2
65,0.275,0.205,0.065,0.10099999999999999,0.040999999999999995,0.021,0.034,5.0,2
66,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8.0,0
67,0.45,0.345,0.115,0.496,0.1905,0.11699999999999999,0.14,12.0,1
68,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,12.0,0
69,0.47,0.365,0.12,0.5429999999999999,0.2295,0.1495,0.15,9.0,1
70,0.455,0.335,0.135,0.501,0.27399999999999997,0.0995,0.1065,7.0,2
71,0.685,0.545,0.205,1.7925,0.8145,0.41600000000000004,0.461,9.0,0
72,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,7.0,0
73,0.57,0.425,0.14,0.7655,0.331,0.14,0.24,10.0,2
74,0.5,0.395,0.14,0.7155,0.3165,0.17600000000000002,0.24,10.0,1
75,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5.0,0
76,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,6.0,0
77,0.71,0.565,0.195,1.817,0.785,0.49200000000000005,0.49,11.0,1
78,0.67,0.525,0.195,1.37,0.6065,0.2955,0.40700000000000003,12.0,1
79,0.525,0.425,0.12,0.7020000000000001,0.3335,0.1465,0.22,12.0,0
80,0.53,0.42,0.12,0.5965,0.2555,0.141,0.177,7.0,2
81,0.385,0.3,0.09,0.247,0.1225,0.044000000000000004,0.0675,5.0,2
82,0.655,0.525,0.16,1.46,0.6859999999999999,0.311,0.405,11.0,0
83,0.62,0.51,0.175,1.1255,0.4985,0.22699999999999998,0.315,14.0,1
84,0.42,0.325,0.115,0.354,0.1625,0.064,0.105,8.0,2
85,0.655,0.53,0.19,1.4280000000000002,0.493,0.318,0.565,18.0,1
86,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18.0,1
87,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5.0,2
88,0.595,0.45,0.165,1.081,0.49,0.2525,0.27899999999999997,12.0,1
89,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,5.0,2
90,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485,8.0,2
91,0.58,0.455,0.13,0.852,0.41,0.1725,0.225,8.0,0
92,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,18.0,1
93,0.545,0.405,0.135,0.5945,0.27,0.1185,0.185,8.0,2
94,0.56,0.435,0.15,0.8715,0.4755,0.1835,0.1835,9.0,1
95,0.705,0.555,0.215,2.141,1.0465,0.38299999999999995,0.528,11.0,0
96,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,10.0,1
97,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10.0,1
98,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6.0,2
99,0.37,0.27,0.095,0.23199999999999998,0.1325,0.040999999999999995,0.0615,6.0,2
100,0.6,0.46,0.155,0.9595,0.4455,0.18899999999999997,0.295,11.0,0
101,0.66,0.525,0.2,1.463,0.6525,0.2995,0.42200000000000004,11.0,1
102,0.705,0.55,0.21,1.4385,0.655,0.3255,0.462,11.0,0
103,0.63,0.5,0.175,1.1105,0.467,0.268,0.32899999999999996,10.0,1
104,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12.0,1
105,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,6.0,2
106,0.57,0.45,0.14,0.9275,0.47700000000000004,0.1605,0.2515,8.0,0
107,0.65,0.515,0.125,1.1805,0.5235,0.28300000000000003,0.3275,9.0,0
108,0.66,0.53,0.185,1.3459999999999999,0.546,0.2705,0.47600000000000003,11.0,1
109,0.37,0.275,0.1,0.22,0.094,0.045,0.065,7.0,2
110,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10.0,1
111,0.555,0.46,0.16,0.86,0.3345,0.1935,0.275,10.0,0
112,0.445,0.355,0.15,0.485,0.18100000000000002,0.125,0.155,11.0,1
113,0.695,0.53,0.15,1.4769999999999999,0.6375,0.3025,0.43,14.0,0
114,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23.0,1
115,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,8.0,2
116,0.565,0.45,0.165,0.9765,0.322,0.244,0.37,12.0,1
117,0.255,0.195,0.065,0.08,0.0315,0.018000000000000002,0.027000000000000003,8.0,0
118,0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21,13.0,1
119,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13.0,1
120,0.27,0.205,0.05,0.084,0.03,0.0185,0.028999999999999998,6.0,2
121,0.655,0.52,0.2,1.5475,0.713,0.314,0.466,9.0,1
122,0.635,0.495,0.18,1.5959999999999999,0.617,0.317,0.37,11.0,1
123,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,16.0,2
124,0.55,0.445,0.155,0.9905,0.544,0.17800000000000002,0.218,9.0,1
125,0.58,0.43,0.13,0.7979999999999999,0.365,0.17300000000000001,0.2285,10.0,0
126,0.615,0.5,0.165,1.1765,0.488,0.244,0.345,17.0,1
127,0.6,0.47,0.15,0.922,0.363,0.19399999999999998,0.305,10.0,1
128,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,12.0,0
129,0.63,0.5,0.16,1.22,0.4905,0.3,0.345,14.0,1
130,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,13.0,0
131,0.58,0.455,0.17,0.93,0.408,0.259,0.22,9.0,0
132,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,9.0,0
133,0.185,0.135,0.045,0.032,0.011000000000000001,0.0065,0.01,4.0,2
134,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095,7.0,2
135,0.575,0.425,0.15,0.8765,0.455,0.18,0.228,8.0,1
136,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8.0,1
137,0.605,0.47,0.115,1.114,0.3925,0.29100000000000004,0.31,15.0,0
138,0.48,0.35,0.135,0.5465,0.2735,0.0995,0.158,8.0,2
139,0.53,0.42,0.13,0.6579999999999999,0.29600000000000004,0.1245,0.198,8.0,2
140,0.58,0.5,0.165,0.925,0.37,0.185,0.3005,10.0,1
141,0.645,0.5,0.175,1.286,0.5645,0.28800000000000003,0.386,12.0,0
142,0.445,0.33,0.11,0.358,0.1525,0.067,0.1185,8.0,2
143,0.52,0.4,0.14,0.622,0.278,0.1455,0.16899999999999998,8.0,2
144,0.495,0.375,0.12,0.589,0.3075,0.1215,0.1405,8.0,2
145,0.63,0.515,0.16,1.3359999999999999,0.5529999999999999,0.3205,0.35,11.0,1
146,0.245,0.19,0.06,0.086,0.042,0.013999999999999999,0.025,4.0,2
147,0.135,0.13,0.04,0.028999999999999998,0.0125,0.0065,0.008,4.0,2
148,0.59,0.415,0.15,0.8805,0.3645,0.23399999999999999,0.235,11.0,1
149,0.745,0.585,0.19,1.966,0.8435,0.43700000000000006,0.5855,18.0,1
150,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15.0,0
151,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8.0,2
152,0.67,0.55,0.155,1.5659999999999998,0.858,0.33899999999999997,0.354,10.0,1
153,0.53,0.41,0.145,0.8255,0.375,0.204,0.245,9.0,1
154,0.575,0.42,0.19,1.764,0.914,0.377,0.4095,10.0,1
155,0.37,0.28,0.095,0.2655,0.122,0.052000000000000005,0.08,7.0,2
156,0.52,0.38,0.115,0.6645,0.3285,0.17,0.1425,7.0,2
157,0.63,0.495,0.175,1.2695,0.605,0.271,0.32799999999999996,11.0,0
